iter	RMSE
0	0.899865823
1	0.840326793
2	0.7874150791
3	0.7360252537
4	0.6880790874
5	0.6430121704
6	0.6013071795
7	0.5623542133
8	0.5268106901
9	0.4933359893
10	0.4630880393
11	0.4344107086
12	0.4075811049
13	0.3831022714	14	0.359856861515	0.3385248375
16	0.3185604051
17	0.2994766027
18	0.2823715533
19	0.2661794434
20	0.2510809712121	0.2371505922	22	0.2243436169
23	0.2121182901
24	0.2007920912
25	0.1899690543
26	0.1800272153
27	0.1712619311
28	0.162967816
29	0.1554898641
30	0.148260148
31	0.1417271569
32	0.1358584145
33	0.1302958936
34	0.125399653
35	0.1207988024
36	0.116561746
37	0.1125407783
38	0.1087430262
39	0.1053107738
40	0.1021579023
41	0.09944161021
	0.09703061373
443	0.09554521988
881301
0.09262493684
45	0.09065986511
