iter	Passed	Remaining
0	286	274422
1	455	217847
2	643	204990
3	825	197039
4	992	189381
5	1229	195271
6	1435	195278
7	1617	192282
8	1790	188951
9	1951	185174
10	2122	182926
11	2278	179824
12	2455	178661
13	2612	176356
14	2774	174627
15	2941	173379
16	3102	171911
17	3245	169665
18	3407	168576
19	3559	167139
20	3715	165960
21	3875	165076
22	4036	164279
23	4211	164059
24	4363	163027
25	4515	162036
26	4675	161396
27	4825	160446
28	4973	159502
29	5126	158764
30	5295	158518
31	5452	157939
32	5600	157164
33	5759	156688
34	5924	156414
35	6079	155860
36	6213	154834
37	6385	154757
38	6529	154025
39	6704	154025
40	6873	153891
41	7028	153453
42	7142	152144
43	7263	151051
4	7346	149217
45	7500	148876
